Subject,Relation,Object
파이낸셜뉴스,게재,"""푸바오, 이상행동?"" 中서 근황공개…'구르기' 무한반복"
비즈워치,게재,[단독]대형증권사 제재내역 살펴보니…8곳 무더기 제재
시사저널e,게재,통합 후 이륙’ 준비하는 대한항공·아시아나 
한국경제,게재,"""여보, 이걸로 돈 벌어서 에르메스 사줄게""…남편의 '베팅'"
헤럴드경제,게재,“99%가 망할거라 예상했는데” 뭇매 맞은 티빙 ‘대반전’…역대급 터졌다
서울경제,게재,네이버 규정 미준수로 삭제된 댓글 줄었다
서울경제,게재,"네이버클라우드, 인텔 손 잡고 AI 생태계 구축 위한 공동 연구 나선다"
서울경제,게재,이준석 ‘감격의 눈물’…여론조사 뒤집고 국회의원 됐다
헤럴드경제,게재,與 총선 참패 책임’ 한동훈 전격 사퇴…한덕수-이관섭 ‘사의’
파이낸셜뉴스신문,발행,파이낸셜뉴스
비즈니스워치,발행,비즈워치
시사저널,발행,시사저널e
한국경제신문,발행,한국경제
헤럴드,발행,헤럴드경제
헤럴드,발행,코리아 헤럴드
서울경제신문,발행,서울경제
한승곤,소속,파이낸셜뉴스신문
김보라,소속,비즈니스워치
박성수,소속,시사저널
신민경,소속,한국경제신문
박세정,소속,헤럴드
양지혜,소속,서울경제신문
최성규,소속,서울경제신문
김진,소속,헤럴드
신현주,소속,헤럴드
서정은,소속,헤럴드
한승곤,작성,"""푸바오, 이상행동?"" 中서 근황공개…'구르기' 무한반복"
김보라,작성,[단독]대형증권사 제재내역 살펴보니…8곳 무더기 제재
박성수,작성,통합 후 이륙’ 준비하는 대한항공·아시아나 
신민경,작성,"""여보, 이걸로 돈 벌어서 에르메스 사줄게""…남편의 '베팅'"
박세정,작성,“99%가 망할거라 예상했는데” 뭇매 맞은 티빙 ‘대반전’…역대급 터졌다
양지혜,작성,네이버 규정 미준수로 삭제된 댓글 줄었다
양지혜,작성,"네이버클라우드, 인텔 손 잡고 AI 생태계 구축 위한 공동 연구 나선다"
최성규,작성,이준석 ‘감격의 눈물’…여론조사 뒤집고 국회의원 됐다
김진,작성,與 총선 참패 책임’ 한동훈 전격 사퇴…한덕수-이관섭 ‘사의’
신현주,작성,與 총선 참패 책임’ 한동훈 전격 사퇴…한덕수-이관섭 ‘사의’
서정은,작성,與 총선 참패 책임’ 한동훈 전격 사퇴…한덕수-이관섭 ‘사의’
"""푸바오, 이상행동?"" 中서 근황공개…'구르기' 무한반복",관련 카테고리,국제
[단독]대형증권사 제재내역 살펴보니…8곳 무더기 제재,관련 카테고리,경제
통합 후 이륙’ 준비하는 대한항공·아시아나 ,관련 카테고리,경제
"""여보, 이걸로 돈 벌어서 에르메스 사줄게""…남편의 '베팅'",관련 카테고리,경제
“99%가 망할거라 예상했는데” 뭇매 맞은 티빙 ‘대반전’…역대급 터졌다,관련 카테고리,IT
네이버 규정 미준수로 삭제된 댓글 줄었다,관련 카테고리,IT
"네이버클라우드, 인텔 손 잡고 AI 생태계 구축 위한 공동 연구 나선다",관련 카테고리,IT
이준석 ‘감격의 눈물’…여론조사 뒤집고 국회의원 됐다,관련 카테고리,정치
與 총선 참패 책임’ 한동훈 전격 사퇴…한덕수-이관섭 ‘사의’,관련 카테고리,정치
"""푸바오, 이상행동?"" 中서 근황공개…'구르기' 무한반복",관련 키워드,푸바오
"""푸바오, 이상행동?"" 中서 근황공개…'구르기' 무한반복",관련 키워드,중국
"""푸바오, 이상행동?"" 中서 근황공개…'구르기' 무한반복",관련 키워드,판다
[단독]대형증권사 제재내역 살펴보니…8곳 무더기 제재,관련 키워드,증권사
통합 후 이륙’ 준비하는 대한항공·아시아나 ,관련 키워드,대한항공
통합 후 이륙’ 준비하는 대한항공·아시아나 ,관련 키워드,아시아나
"""여보, 이걸로 돈 벌어서 에르메스 사줄게""…남편의 '베팅'",관련 키워드,ETF
"""여보, 이걸로 돈 벌어서 에르메스 사줄게""…남편의 '베팅'",관련 키워드,명품
“99%가 망할거라 예상했는데” 뭇매 맞은 티빙 ‘대반전’…역대급 터졌다,관련 키워드,OTT
“99%가 망할거라 예상했는데” 뭇매 맞은 티빙 ‘대반전’…역대급 터졌다,관련 키워드,티빙
“99%가 망할거라 예상했는데” 뭇매 맞은 티빙 ‘대반전’…역대급 터졌다,관련 키워드,넷플릭스
“99%가 망할거라 예상했는데” 뭇매 맞은 티빙 ‘대반전’…역대급 터졌다,관련 키워드,KBO
“99%가 망할거라 예상했는데” 뭇매 맞은 티빙 ‘대반전’…역대급 터졌다,관련 키워드,프로야구
“99%가 망할거라 예상했는데” 뭇매 맞은 티빙 ‘대반전’…역대급 터졌다,관련 키워드,환승연애
네이버 규정 미준수로 삭제된 댓글 줄었다,관련 키워드,네이버
네이버 규정 미준수로 삭제된 댓글 줄었다,관련 키워드,댓글
네이버 규정 미준수로 삭제된 댓글 줄었다,관련 키워드,악플
네이버 규정 미준수로 삭제된 댓글 줄었다,관련 키워드,모니터링
"네이버클라우드, 인텔 손 잡고 AI 생태계 구축 위한 공동 연구 나선다",관련 키워드,네이버
"네이버클라우드, 인텔 손 잡고 AI 생태계 구축 위한 공동 연구 나선다",관련 키워드,네이버클라우드
"네이버클라우드, 인텔 손 잡고 AI 생태계 구축 위한 공동 연구 나선다",관련 키워드,인텔
"네이버클라우드, 인텔 손 잡고 AI 생태계 구축 위한 공동 연구 나선다",관련 키워드,AI
"네이버클라우드, 인텔 손 잡고 AI 생태계 구축 위한 공동 연구 나선다",관련 키워드,AI칩
"네이버클라우드, 인텔 손 잡고 AI 생태계 구축 위한 공동 연구 나선다",관련 키워드,LLM
이준석 ‘감격의 눈물’…여론조사 뒤집고 국회의원 됐다,관련 키워드,총선
